id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1785,"20 Wattleseed Avenue, Cobbitty",4.0,2,2.0,1110000.0,-33.996066,150.719957,2570.0,383.0,2898.172323759791,Wollongong,2163.7274520500246,1233320.2614379085,2452.919945362968
1786,"21 Constellation Avenue, Box Hill",4.0,2,1.0,1060000.0,-33.6558806,150.911822,2765.0,356.0,2977.5280898876404,Sydney,1338.2783138036607,1270745.238095238,3851.3150622660773
1787,"55 Everard Terrace, Marsden Park",4.0,2,1.0,1000000.0,-33.704235,150.815101,2765.0,280.0,3571.4285714285716,Sydney,1824.7449082601256,1270745.238095238,3851.3150622660773
1788,"11 Sunderland Street, Mayfield",3.0,1,2.0,966600.0,-32.901752,151.732894,2304.0,368.0,2626.6304347826085,Newcastle,27.389547400002538,1068644.4444444445,2524.4425089423876
1789,"2/8 Ibis Court, Kingscliff",3.0,2,1.0,948000.0,-28.254705,153.5680318,2487.0,171.0,5543.859649122807,Newcastle,250285.29877796225,3501083.3333333335,4969.204032013561
1790,"35 Courin Drive, Cooranbong",4.0,2,2.0,858888.0,-33.0637075,151.4619236,2265.0,400.0,2147.22,Newcastle,1192.4509321320272,969327.1111111111,1400.79479915318
1791,"41B Upland Chase, Albion Park",3.0,2,1.0,805000.0,-34.5848124,150.7661677,2527.0,219.0,3675.799086757991,Wollongong,407.6470253704797,977641.6666666666,2163.4653957975975
1792,"155A Farnham Road, Quakers Hill",3.0,1,1.0,802000.0,-33.7245475,150.8938697,2763.0,336.6,2382.6500297088533,Sydney,1203.0505791434182,1279882.9787234042,2870.176781308772
1793,"10 Lewers Street, Belmont",3.0,1,1.0,770000.0,-33.0275727,151.6494674,2280.0,347.8,2213.916043703278,Newcastle,269.2809954805104,1197305.5555555555,1588.8553635112976
1795,"1 Grebe Street, Aberglasslyn",3.0,2,2.0,632000.0,-32.692076,151.546056,2320.0,348.0,1816.0919540229886,Newcastle,1092.6474971199843,865725.5639097744,1181.3657708769929
1796,"14/19 Faithfull Street, Goulburn",2.0,1,1.0,482000.0,-34.7475662,149.7150903,2580.0,210.0,2295.2380952380954,Wollongong,14899.572759565082,699362.8378378379,1033.7113136696419
1797,"8 Lilyfield Road, Rozelle",3.0,3,1.0,2330000.0,-33.8712095,151.1698528,2039.0,207.5,11228.915662650603,Sydney,15.618872780909504,2703000.0,11055.966660329843
1798,"217 Trafalgar Street, Stanmore",3.0,1,2.0,2025000.0,-33.894963,151.161134,2048.0,215.0,9418.60465116279,Sydney,30.044661250007042,2556428.5714285714,10658.327519189794
1799,"6 Lilyfield Road, Rozelle",3.0,2,2.0,2022000.0,-33.86970555,151.17063315,2039.0,340.5,5938.325991189427,Sydney,14.95945309727078,2703000.0,11055.966660329843
1800,"137A Caroline Chisholm Drive, Winston Hills",5.0,3,1.0,1825000.0,-33.7741629,150.96119,2147.0,367.0,4972.75204359673,Sydney,705.1475279642257,1396663.3513513512,2201.394656572108
1801,"16A Hermington Street, Epping",3.0,1,1.0,1745000.0,-33.777561899999995,151.0655391767198,2121.0,286.0,6101.398601398601,Sydney,289.9156520181694,2823213.11627907,3672.639671723102
1802,"73 Balmain Road, Leichhardt",2.0,1,2.0,1675000.0,-33.8811748,151.1589504,2040.0,215.0,7790.697674418605,Sydney,26.88217895200323,2740458.3333333335,9897.530904103784
1803,"2 Daisy Street, Greystanes",5.0,3,1.0,1476000.0,-33.8216416,150.9351156,2145.0,387.9,3805.1044083526685,Sydney,774.0099989393333,1601441.282352941,3182.6549325274864
1804,"91 Hillston Circuit, Gregory Hills",5.0,3,2.0,1407000.0,-34.0373101,150.7824412,2557.0,339.0,4150.442477876106,Wollongong,1647.2773201945115,1207210.5263157894,3198.2633277250734
1805,"1 Kansas Place, Toongabbie",5.0,3,2.0,1385000.0,-33.7983595,150.9370931,2146.0,340.5,4067.547723935389,Sydney,790.5846044786852,1687154.761904762,2727.7785810426835
